Address,Name Tag,Balance,Percentage,Txn Count
"0xabf338dac393636f0e1b714a96f1e0fab7cae911","","13,270.0912548 ETH","0.01101752%","3"
"0x4231347c9a926119d7cf8c745c613e2167891355","","13,250.14505845 ETH","0.01100096%","40"
"0x8ee6f6645d8b98e0a5fdd425b5ee7f57af81cd64","","13,229.32794087 ETH","0.01098368%","4"
"0x05fab50dc7b992f1b4207c2d3fe3b49c4a8f9d0f","","13,146.10001 ETH","0.01091458%","4"
"0x056f59ab533fcd15883c4410d9ba9836c3bb7fa8","","13,142.95462673 ETH","0.01091197%","102"
"0x04e5a3d5098f775077f051f17815b4e4a3e8fc99","","13,104.9956 ETH","0.01088045%","7"
"0x0248392680a25223e84c6fc7c005b290477b5b65","","13,104.98352225 ETH","0.01088044%","6"
"0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61","Uphold 2","13,092.77329909 ETH","0.01087030%","40,060"
"0xfa0ba3bb8a4b3c798f89d6bbd90a6fde3c09153f","","13,037.97197798 ETH","0.01082480%","97"
"0xf61ccb7e1a1901428d0ec5dbdfa63b991b9c4b15","","13,030.02735986 ETH","0.01081821%","83"
"0x23996a5ea28109d3071b3d3d37a5e36ae999a479","","13,016.97719 ETH","0.01080737%","3"
"0x661b0f8cba1616afb3ace3be85a6080cb9eef35d","","13,006.46822652 ETH","0.01079865%","3"
"0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48","CoinDash: Token Sale","13,000.46725884 ETH","0.01079367%","2,166"
"0x4c9fe9f5f4eb11f17d93424dbac66439776f3fab","","12,983.23494588 ETH","0.01077936%","2"
"0xa5068741aecfeb8f8ff503d6e73e13b6586a6980","","12,947.84343579 ETH","0.01074998%","489"
"0xc1ebd02f738644983b6c4b2d440b8e77dde276bd","Arbitrum Nova: Bridge","12,888.60170234 ETH","0.01070079%","1"
"0xdee3fdb72031b3d32797c6a8cb14622723195c41","","12,881.54984233 ETH","0.01069493%","2"
"0xa3c52796f5b3eeb84a1a4540c4b0a9310f8020d4","","12,746.799559 ETH","0.01058306%","3"
"0x7d34487e36f3c6021b8ca8ed5fc908f85be86038","","12,739.98868805 ETH","0.01057740%","3"
"0x6e4d369f792112f4e2f327dbbebcf0921e1737b7","","12,701.67 ETH","0.01054559%","1"
"0x2313342454de59fe684764accbd1b0317e9dc552","","12,701.67 ETH","0.01054559%","1"
"0x23ea10cc1e6ebdb499d24e45369a35f43627062f","Digix: DGD ETH Refund","12,679.46086396 ETH","0.01052715%","2,042"
"0xfda9c8ac2375bee15b27c58e48b74023f8686610","","12,657.4528 ETH","0.01050888%","7"
"0x16297903d273f746f894bfc42b4125b45d102e8a","","12,657.44372114 ETH","0.01050887%","23"
"0x000000000000000000000000000000000000dead","Null: 0x00...dEaD","12,623.50742951 ETH","0.01048069%","83,109"
"0x11a05633e78aabf81cbc84d58e0f8d07fd25c992","","12,609.4910326 ETH","0.01046906%","225"
"0xd164b614fde7939078c7558f9680fa32f01aed77","","12,606.9089874 ETH","0.01046691%","109"
"0x6bd869be16359f9e26f0608a50497f6ef122ee3e","","12,584.43528488 ETH","0.01044825%","55"
"0x5b97a1cd49754878630524298296abcad2b4cc2d","","12,583.23369006 ETH","0.01044726%","320"
"0x0842b50fcbe9f8515351ef9c0e47c9a3a30fd3ef","","12,576.3163809 ETH","0.01044151%","10"
"0xe9b4ad0b973e3d4e04f167a3acca843cc86f24b1","","12,552.11387864 ETH","0.01042142%","3"
"0xdb6241f04e9b9758979cdded28aec1b97d2a17e0","","12,510.40815695 ETH","0.01038679%","4"
"0x3f0cb41b459bffb354dde6d15fc2759e5f7d2ab6","","12,509.79499428 ETH","0.01038628%","1"
"0xeb001fb307e9b85a9f2d36163035d154edf57db5","","12,501.785 ETH","0.01037963%","11"
"0x0c295c085cae9c6278df49477d29f71d78c5490d","Sparkster: Wallet","12,500.83371221 ETH","0.01037884%","75"
"0x910cbd523d972eb0a6f4cae4618ad62622b39dbf","Tornado.Cash: 10 ETH","12,470 ETH","0.01035324%","14,103"
"0xbd02c51150a4ab6ce97b9de2025644594f3e75b8","","12,466.96825779 ETH","0.01035073%","17,649"
"0x8256bd878b72d6abd31038c56d7c5df42f86c850","","12,454.00412789 ETH","0.01033996%","11"
"0xf8ac3fc3f575f22ccc688551db3513d4d8566748","","12,453.99829369 ETH","0.01033996%","10"
"0xa675b5fef65d3dc5a0ef86bf84db49016c838262","","12,448.54520801 ETH","0.01033543%","4"
"0xd80c84edf1d9fa9b5234b3340a487ce8ad35fa6a","","12,448.54520801 ETH","0.01033543%","3"
"0xab09b0c5c112999bee4f45e323c4ad2b59638603","Bitstamp 32","12,430 ETH","0.01032003%","2"
"0x8e9494b8b9a8fb885e7f5dcefbebf552054ccdd8","","12,422.28309231 ETH","0.01031363%","77"
"0x1f8466f652720367d0e92505535a23d9764cce85","","12,421.22991819 ETH","0.01031275%","4"
"0x326d9f47ba49bbaac279172634827483af70a601","","12,419.9986 ETH","0.01031173%","1,313"
"0x52aa899454998be5b000ad077a46bbe360f4e497","","12,352.05583245 ETH","0.01025532%","2"
"0x90bc1be905c2a6caffa847599c5a4971a46354b3","","12,350.84921421 ETH","0.01025432%","4"
"0xa646e29877d52b9e2de457eca09c724ff16d0a2b","Status: Research & Development MultiSig","12,350.11000066 ETH","0.01025371%","243"
"0xc2906c3c14d89bdd7bfc22a3f6c1f375664aaaab","","12,341.71414387 ETH","0.01024673%","7"
"0xacdda52bcd98cca44df935b8d9f15404d12135a8","","12,338.70498656 ETH","0.01024424%","4"
"0x76aac35bf0141fa59318c8f741d73c2f13a5d9c2","","12,338.47280313 ETH","0.01024404%","4"
"0x3f007eeb2982a712b18d78cbcb6e26c4779d1dad","","12,310.46896562 ETH","0.01022079%","4"
"0x087d2c24c0225b286e5aac0e94aefba0af3b44dc","","12,300.49758831 ETH","0.01021251%","32"
"0x0cd76cd43992c665fdc2d8ac91b935ca3165e782","Bitfinex 18","12,284.33645009 ETH","0.01019910%","2"
