Address,Name Tag,Balance,Percentage,Txn Count
"0xff762fa809eb3acc6dd3e25bccb8aaa80f8947e0","","15,872.59336182 ETH","0.01317826%","64"
"0x4cc61daed7824ff8b5081f204e16bea330c2eeab","","15,855.005 ETH","0.01316365%","9"
"0x36eed1a4dd70f0731dd20ef76c32345185a8a042","","15,810.2096069 ETH","0.01312646%","73"
"0x5af9645e5cfc33e6072cc45d86fad7b794706e65","","15,789.27582683 ETH","0.01310908%","37"
"0xa318690a8fe1a02e6fa568ce84125c9d82823b05","","15,775.07948 ETH","0.01309729%","19"
"0x3e3586b5be868daa72dbec2ebd0d3340466253bb","","15,734.948803 ETH","0.01306398%","8"
"0xef414ba7709e6cf9bbc93ba4fcb9a53f372bf54c","","15,733.2167321 ETH","0.01306254%","21"
"0x9bb13ae760b0c1057dd892d319631160d32170fb","","15,578.57915819 ETH","0.01293415%","4,981"
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819","EtherDelta 2","15,553.53037652 ETH","0.01291335%","11,551,828"
"0xfe7c9c176d4d3ee940af666091a08322329d72fa","","15,465.386759 ETH","0.01284017%","3"
"0xbb320be99c9dc52258ab9a586405ddc80fd3d1a9","","15,462.43624732 ETH","0.01283772%","69"
"0x33064d04d38164676fa9650294561169ad567458","","15,459.33382887 ETH","0.01283515%","93"
"0x3707487518d9485a98f44d7b4b678daadb8360da","Grayscale: Ethereum Mini Trust 3","15,420.57404295 ETH","0.01280297%","3"
"0x80505508d1fc8e8c1a12a964c4cd206058d04e5c","","15,402.05475643 ETH","0.01278759%","3"
"0x7c367fb44b37f4b83ff41f6a0e5e459d59aae415","","15,287.26947622 ETH","0.01269229%","2"
"0x060909286bc22400b832ea9598a133ba88009921","","15,223.41825815 ETH","0.01263928%","195"
"0x5a16552f59ea34e44ec81e58b3817833e9fd5436","cVault Finance: Deployer","15,169.55468626 ETH","0.01259456%","1,078"
"0x139755dfda844a7e56f49c319ad4b7cb041f54f7","","15,119.38865051 ETH","0.01255291%","78"
"0x669d422a75fe617723b391242ca6fe8e06c29d2d","","15,074.21669449 ETH","0.01251540%","189"
"0xf476a4c7ae500414c3909cedf56ed63104902176","","15,001 ETH","0.01245461%","3"
"0xa19964d5f49488eb6cb4a5381826f3da58c281b1","","15,000.1 ETH","0.01245387%","15"
"0xd11fd269ac6b602e42abb6f0f186cd5b27180ffd","","15,000.0050527 ETH","0.01245379%","24"
"0x11133bcf0ecbe48e74a4d787bb047aa5bc2c5cab","","15,000.0048427 ETH","0.01245379%","24"
