Address,Name Tag,Balance,Percentage,Txn Count
"0xfb90d21c9c40153a87058a98bc124529a0500537","","19,764.3337 ETH","0.01640938%","2"
"0xc6ee35934229693529dc41d9bb71a2496658b88e","","19,700 ETH","0.01635597%","4"
"0xdf3288f9e54809c97edabdeb8f0c3c26ce0f5192","","19,627.31221919 ETH","0.01629562%","6,326"
"0xd616e186c4db1b46a47b5cbf368c331dd2fb709e","Grayscale: Ethereum Mini Trust 8","19,488.4311476 ETH","0.01618031%","11"
"0xca8a031cdb5bbd4559d526a723093582f80aa3c2","","19,364.30707514 ETH","0.01607726%","12"
"0xe47e60f6b8b13c079e3c27e1f855a79e16ca8d54","","19,310.05745629 ETH","0.01603222%","17"
"0x997114ca0830e9bee7443368fa27f4af2d4e55a6","Plus Token Ponzi 2","19,273.7792971 ETH","0.01600210%","56"
"0x07fe1752b74395ab1b71d94c46ee121d0a61a26d","","19,229.95351315 ETH","0.01596571%","19"
"0x09f928cb05359507866b97451e71d55fbdb43a3c","Grayscale: Ethereum Mini Trust 17","19,169.208182 ETH","0.01591528%","3"
"0x4051fc027b8cc03443574f3bd0688927723f543f","","19,102.8300191 ETH","0.01586017%","2"
"0x8c03e586b09851501066f10bbdfe91c771fd43d4","","19,102.83 ETH","0.01586017%","1"
"0x10b236a9155658070597282f693afc407af67e0d","","19,102.83 ETH","0.01586017%","1"
"0xde3ce06432e52db6d76f04e85083ba0e547a99bb","","19,102.83 ETH","0.01586017%","1"
"0x03058fa830e90de326009eb1b6b793b60076d7dd","Grayscale: Ethereum Mini Trust 12","19,005.3592115 ETH","0.01577924%","2"
"0x660b4f8b8ac68fd6f6e2caeb19bc5529d4c05bd4","Grayscale: Ethereum Mini Trust 15","18,923.63267625 ETH","0.01571139%","4"
"0x5a814d65a25cf2463f8988a2ca685012fcbc30be","","18,858.66749004 ETH","0.01565745%","69"
"0xde51efca52a82674194c61e029554d4106c9c29b","","18,846.04094 ETH","0.01564697%","1"
"0x3bbf4e8fadbff1be660b2fd6cae33314caeaa301","","18,845.47158752 ETH","0.01564649%","70"
"0xba7e3e03b98bad43f20bca3c1e7d06d62e8385ae","","18,806.00175238 ETH","0.01561372%","69"
"0x73781209f3b0f195d0d3fa9d6b95bb61c54c1ca6","","18,782.72240194 ETH","0.01559440%","2"
"0x7a8c531438daed6a8836025cf3566648c1d4a7c9","","18,775.68 ETH","0.01558855%","2"
"0x8f509a90c2e47779ca408fe00d7a72e359229ada","","18,770.99299238 ETH","0.01558466%","105"
"0x170436fd915b5481612b5923e45054b6af25fa9d","","18,753.07804962 ETH","0.01556978%","1"
"0xff9b84447ab2fad78ead48c080bfee9c6479c235","","18,738.86166521 ETH","0.01555798%","5"
