Address,Name Tag,Balance,Percentage,Txn Count
"0x303c741bb15c9c4b1c72320f6df702b32da80519","","98,770.46150985 ETH","0.08200439%","77"
"0x28140cb1ac771d4add91ee23788e50249c10263d","Bitfinex 16","97,634.063475 ETH","0.08106089%","1"
"0xc56fefd1028b0534bfadcdb580d3519b5586246e","Bitfinex 11","95,263.26323519 ETH","0.07909253%","1"
"0xf196c023de1f19d6529133759f449c4b01ce0f51","","94,923.81168397 ETH","0.07881070%","58"
"0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","94,409.71868189 ETH","0.07838387%","11,552"
"0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6","","93,032.09631113 ETH","0.07724010%","7"
"0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0","","92,228.15247716 ETH","0.07657262%","6"
"0xb0b2963178fc282732b2eb232a19a44793430970","","91,149.02247515 ETH","0.07567667%","16"
"0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a","","90,645.23803272 ETH","0.07525841%","60"
"0x3727cfcbd85390bb11b3ff421878123adb866be8","Bitbank 2","90,002.64489469 ETH","0.07472489%","15,950"
"0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30","","90,000.14557205 ETH","0.07472282%","9"
"0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75","","90,000.14537558 ETH","0.07472282%","7"
"0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0","","90,000.14525149 ETH","0.07472282%","6"
"0xda29accfb77995bef70bcf6478a73e9acb07732d","","90,000.14523237 ETH","0.07472282%","7"
"0xf29c6705f188526e0029a92ee6bc21ebc750b675","","90,000.14519401 ETH","0.07472282%","7"
"0x03d615c04be905790dbef2df0472a2e901ccd810","","90,000.14504835 ETH","0.07472282%","7"
"0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f","","90,000.13561258 ETH","0.07472281%","8"
"0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461","","89,854.99807357 ETH","0.07460231%","58"
"0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419","Starknet: StarkGate ETH Bridge","89,157.12234115 ETH","0.07402289%","1,809,390"
"0x1bb762b16438f8b287626fd1042bc6f6848cc286","","86,481.01573968 ETH","0.07180105%","5"
"0xad0d53cf033ab63dc72d653640766ee1d366cef6","","85,968.12149808 ETH","0.07137522%","79"
"0xac08f21ef597a51865d69896f09b52472acde80d","","85,968.12129066 ETH","0.07137522%","68"
"0x226250be82213d1ed3efa22d5f0ef41d71de9689","","85,387.42443 ETH","0.07089309%","3"
"0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f","","84,999.9954392 ETH","0.07057143%","9"
"0x3f4ac8d3e1414b5351e632391908177c012c65cc","","84,642.40751359 ETH","0.07027454%","74"
"0x210b3cb99fa1de0a64085fa80e18c22fe4722a1b","","84,530.95389783 ETH","0.07018201%","44"
"0xbddf00563c9abd25b576017f08c46982012f12be","","84,490.58590454 ETH","0.07014849%","813"
"0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance 28","83,265.29072614 ETH","0.06913119%","3,914"
"0xb3764761e297d6f121e79c32a65829cd1ddb4d32","Multisig Exploit Hacker","83,017.21222801 ETH","0.06892522%","76"
"0xbf4ed7b27f1d666546e30d74d50d173d20bca754","WithdrawDAO","82,942.18098155 ETH","0.06886293%","19,702"
"0x0ef3794802b55bc4464114c3df550430b53a3506","","82,040.08592572 ETH","0.06811396%","57"
"0xb46427e2cddecb0bde40bf402361effddd4401e2","","81,444.25827907 ETH","0.06761927%","8"
"0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9","","80,673.98765072 ETH","0.06697975%","66"
"0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143","","80,000.00038144 ETH","0.06642017%","10"
"0x918fa381cb534677bad24afb29cb3c2acaf16385","","79,340.3816176 ETH","0.06587252%","4"
"0x5126ec2d8834b63a962fc471e2a6b12641454fe8","","79,130.29700981 ETH","0.06569810%","32"
"0xd2b0b1daed605718080f861034d3241f1cfd89cb","","79,122.43024148 ETH","0.06569157%","4"
"0xfdfeb7474b6b104f32599948bb7f8ed81b06def3","","77,735.85185611 ETH","0.06454036%","5"
"0x831c3720681096f276cb016b51a33433d7cb2faa","","74,658.55989616 ETH","0.06198543%","67"
"0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc","","74,658.55986664 ETH","0.06198543%","78"
"0x7ced76dde9203a554df01cbb1ed0d17e9bce7524","","74,658.55985016 ETH","0.06198543%","65"
"0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc","","74,658.55984144 ETH","0.06198543%","76"
"0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a","","74,658.55984064 ETH","0.06198543%","71"
"0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7","","74,658.55983264 ETH","0.06198543%","73"
"0xb3177d9873b7ac246874114d8760e66dc5e797cc","","74,658.55983264 ETH","0.06198543%","71"
"0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96","","74,658.55983264 ETH","0.06198543%","76"
"0x9aabd298b30d034f8c64f86aa25fc74b9f70930f","","72,013.49455401 ETH","0.05978936%","74"
"0xe27f62b70ab44d7fd1842dce66138a31940fa29a","","71,365.78137487 ETH","0.05925159%","75"
"0x755cdba6ae4f479f7164792b318b2a06c759833b","ExtraBalDaoWithdraw","70,969.49700198 ETH","0.05892258%","8,290"
"0x48c3ff4faba735e659beb7bf3e1ff65a159928ae","","70,010.16 ETH","0.05812609%","2"
"0x24c16c998a1d0966a0a9ec2787f82d1d324b6263","","70,010.12 ETH","0.05812605%","4"
