Address,Name Tag,Balance,Percentage,Txn Count
"0x444272e48b1f819a76fa3c6152c23cd6de007d26","","10,252.53003554 ETH","0.00851219%","18"
"0xd94e27c1a99602e737ea0d4d912367e660931531","","10,236.56196438 ETH","0.00849893%","12"
"0x1157a2076b9bb22a85cc2c162f20fab3898f4101","FalconX: 0x115...101","10,217.14577883 ETH","0.00848281%","84,866"
"0x1ec4adaab2256f604a80135b686384b2bec906e2","","10,201.55124859 ETH","0.00846986%","2"
"0x11dbf181dd5c075c2abd92cb9579c4809406b5be","","10,173.58144272 ETH","0.00844664%","28,046"
"0xcf8bbeccf495ad0127c32eb0b284b85d891eee7a","","10,166.95938635 ETH","0.00844114%","60"
"0x8c24fd5ec2fa8b54a927e98a44b3f420e73eef23","","10,156.85673106 ETH","0.00843275%","1"
"0x28bb7d15e9cc8b1c07cc0fb16c7b9c4896a68c1c","","10,153.50181092 ETH","0.00842997%","2"
"0x7401ea6d95e77894b13775fe3e15b48d053d8e0f","","10,151.83133474 ETH","0.00842858%","1"
"0xff42e2a81a5ab429eead7654344a9deec215dabf","","10,151.74356773 ETH","0.00842851%","2"
"0x645471133f8f7af362a2878796ed516452d5cb24","","10,121.10066156 ETH","0.00840307%","1"
"0xf15deafe4b2aed343051c7a31040b8be920de504","","10,110.15321344 ETH","0.00839398%","1"
"0xf53ef57b0f32ed0d151e4e6eee8c66c919dbd202","","10,100 ETH","0.00838555%","1"
"0x71b77eb874c2e8b530133244e2a28771040762dd","","10,100 ETH","0.00838555%","1"
"0x52376658d27cd024dd18de54912cf355719f0f3e","","10,100 ETH","0.00838555%","1"
"0x556d8abf8e9da36470fe6f53e5d84fa62654b4fa","","10,100 ETH","0.00838555%","1"
"0xf0b9db9a9eed7b55b2e96aa512f5d99527af687e","","10,099.998 ETH","0.00838555%","3"
"0x0713e7eb765b9578483673432d39ae0f5cd03882","","10,093.80969211 ETH","0.00838041%","1"
"0x58b7dde718387caaafd2a11bbde1680d06ac8759","","10,090 ETH","0.00837724%","2"
"0x240a3c4fb691ed4d393f7ce1a61d0bb8bf91e0d4","","10,086.29035342 ETH","0.00837416%","2"
"0x1d4eabe367ed58fefabdf5ae4d73a1d0a6c2c8a9","","10,080.49450813 ETH","0.00836935%","34"
"0x10abe2494e4525f8cd2bac772671f0e1a44c6975","","10,060.02470694 ETH","0.00835236%","122"
"0xfd58f0bd175d6695c4faaea04a5db85a149bb479","","10,055.20785338 ETH","0.00834836%","8"
"0xd0791bb1e59ed26d49f7df67ca62122149b27cbd","","10,051.32964132 ETH","0.00834514%","18"
"0x940d49beb1e89ddaeff286e22c7cbed39190cb24","","10,051.06002995 ETH","0.00834491%","7"
"0x293aa6f08a7820d97cd17d0ca7941141767d1a9b","","10,050.23275997 ETH","0.00834423%","60"
"0x237b5ad89d6513630b71bbf783c1edcc84fb6aab","","10,047.333662 ETH","0.00834182%","125"
"0x4a80c83a138fb21f54cb1b55d0ffcc6254bb53dd","","10,039.66441515 ETH","0.00833545%","11"
"0x2a3dd3eb832af982ec71669e178424b10dca2ede","Polygon (Matic): zkEVM Bridge","10,029.83638074 ETH","0.00832729%","261,662"
"0x2e2171cce13573b6a93c7440d6978e71b14f99ac","","10,028.29985249 ETH","0.00832602%","77"
"0xf9b43deb017253448eea94ad790db67541487021","","10,015.77222006 ETH","0.00831562%","671"
"0x914b432dad9c29c081f93d84790919335bcbd33f","","10,012.28217151 ETH","0.00831272%","24"
"0xc428092d28538afad62e667dc957ec4b56234c53","","10,004.21468858 ETH","0.00830602%","18"
"0x50f8f4ac820b63ce09fcb5f5f9c7756620502f8a","","10,001.89258678 ETH","0.00830409%","8"
"0x6a2abd0fa9bb0584fe2922b5110bb637de47b75b","","10,000.99740519 ETH","0.00830335%","5"
"0x2048ed6b9b01eefb353841daf47820dce0ce4b76","","10,000.99649133 ETH","0.00830335%","6"
"0xee8d8ababb63bcd41e70a30b187cbaaa4e5d7ec6","","10,000.99632755 ETH","0.00830335%","8"
"0x74ab3d0cf3cefe882b4397a54aae10099e59ccf0","","10,000.98967023 ETH","0.00830334%","16"
"0x935974b1272a2dec7df13cd8ee62ca1880c00121","","10,000.93920055 ETH","0.00830330%","6"
"0x97255de8f7a2885ce3dcb4bebb8708ce28ec75d4","","10,000.93718081 ETH","0.00830330%","246"
"0xe9405bd9845a488e4c5e5e6d972fea932e2e4a3c","","10,000.65864737 ETH","0.00830307%","40"
"0x7c07d3bed88e23da29a406eb41bda7ae3b64747b","","10,000.57677601 ETH","0.00830300%","2"
"0xbd6ce13c269890c4d1137b7beb0c7b1ff7f59556","","10,000.510669 ETH","0.00830295%","9"
"0x6ab0575a94d1718a19759522801e0761ffb95722","","10,000.39383865 ETH","0.00830285%","61"
"0xaa5a6345eabcc9486d26f79048695d0a94758fd0","","10,000.09377814 ETH","0.00830260%","25"
"0xe9710b79f673dce3a4e2e9b68ffdc93fa056d87d","","10,000.08392453 ETH","0.00830259%","10"
"0xde89f4e9a9635abed5fde148a2b6f6638050221f","","10,000.049139 ETH","0.00830256%","3"
"0x1b8c323e2493c841205b9f96c0190bde6ffeea30","","10,000.02150188 ETH","0.00830254%","2"
"0x5cecda7ab52609b4bd5459ab3f12b082a0fb21df","","10,000.003 ETH","0.00830252%","2"
"0x4d150fb4dc739db7d019ab3980f05077377b5de1","","10,000.00223836 ETH","0.00830252%","6"
"0x06936e099c22ffbb6a2323c14bfffba3b0268cf1","","10,000.00016363 ETH","0.00830252%","3"
"0x497196442e8e1ab21a2abb3bd40ede04a5d8bb74","","10,000.00014356 ETH","0.00830252%","3"
"0x7dba67ee3c4656a9b76c3fdd537fd26aacd53acf","","10,000.00013443 ETH","0.00830252%","3"
"0xf81e82a2177c46c050e66cfe0cb88a25fe617299","","10,000.00013313 ETH","0.00830252%","3"
"0x63374d468a9511068706d8897231ff298eb9584b","","10,000.00013283 ETH","0.00830252%","3"
"0x7e7eb7e7a7601c127d98545c4579f6adb719c511","","10,000.00012857 ETH","0.00830252%","3"
"0xa70e76af7e806c84c7c19352ecc3be0fb064f5a6","","10,000.00012077 ETH","0.00830252%","3"
"0x090af3cd6d52badcb549a70c8d833da28e6a8de3","","10,000.00011993 ETH","0.00830252%","3"
"0xfe3b3a9e982ac18bd0fa8fcf0b345603e7f6e308","","10,000.0001135 ETH","0.00830252%","3"
"0x56220b7e25c7d0885159915cdebf5819f2090f57","","10,000.00011168 ETH","0.00830252%","3"
"0x351e1b4079cf180971025a3b35dadea1d809de26","","10,000.00010374 ETH","0.00830252%","3"
"0xa61551e4e455edebaa7c59f006a1d2956d46eecc","","10,000.00010116 ETH","0.00830252%","3"
"0x85dd5c630ac389aa541c8562461a1f83c8ad2888","","10,000.00009949 ETH","0.00830252%","3"
"0xb0d39713eb4a56c5f7b950ccc01d701901ec9486","","10,000.00009586 ETH","0.00830252%","4"
"0xe3f2f9567e016192f737e3d514da0fd930bf55f9","","10,000.00009506 ETH","0.00830252%","3"
"0x334a31985f5dc6da6e4b1a85d9183cfc18535aeb","","10,000.00009502 ETH","0.00830252%","3"
"0x3dc7b60704e37eef0d84323354c310b4cba991bf","","10,000.00009447 ETH","0.00830252%","3"
"0x3318947058ef405b5cf7548f150ff8676ef71415","","10,000.0000808 ETH","0.00830252%","3"
"0xc043c690734bfd174aef4f915e6c55ed2914ff41","","10,000.00007446 ETH","0.00830252%","3"
"0xf908b1a1f409baa43256b0b66f5dfe32fe9024fb","","10,000.00005635 ETH","0.00830252%","3"
"0xebf137a8a64d8a8ad38d368379959455e69c90dd","","10,000.00005256 ETH","0.00830252%","3"
"0x33b62165fbb2927031c623bc330eb248c3ad6fe9","","10,000 ETH","0.00830252%","2"
"0x29aef48de8c9fbad4b9e4ca970797a5533eb722d","","10,000 ETH","0.00830252%","2"
"0x5c96de3a6a9034120bc0509700c0eea801efd842","","10,000 ETH","0.00830252%","2"
