Address,Name Tag,Balance,Percentage,Txn Count
"0x4ebf51689228236ec55bcafef9d79663992a7fb6","","11,515.48501249 ETH","0.00956076%","832"
"0x1e5f7553ce357ebeed4fb2076733f32bee269a92","","11,365.3 ETH","0.00943606%","5"
"0x16beb8782c2607fd90ca93f3119cf12c00255c6e","","11,348.36578817 ETH","0.00942201%","236"
"0x031eddc8a1f03424e73d84aad74d42a6d8b0f193","","11,297.27 ETH","0.00937958%","1"
"0x56a9cf3df976e18727c624eb63e5cedfc045589d","","11,290.62660785 ETH","0.00937407%","19"
"0x96351a787be9d1787ab47be436877723dc4199c4","","11,283.11383883 ETH","0.00936783%","55"
"0x0b4cf3c2f3481c0c84565f97f2a645925bb4abf5","","11,249.01853824 ETH","0.00933952%","14"
"0x764c64b2a09b09acb100b80d8c505aa6a0302ef2","Truebit Protocol: Purchase","11,204.38265847 ETH","0.00930246%","2,417"
"0x4fdfe365436b5273a42f135c6a6244a20404271e","","11,178.39070501 ETH","0.00928088%","562"
"0xf7a350f9755eb6601d31803fa32bbd5f710dfc8c","","11,143.51036371 ETH","0.00925192%","1"
"0x40b5a4ccfc57f43ad6b8fd77c590b7f4174872b3","","11,137.59356261 ETH","0.00924701%","254"
"0x01b64ec97c01219d3462be8355855e14a9a036c4","","11,132.67169755 ETH","0.00924292%","92"
"0x5c914192eb9bf22117a578a740907215b89aed2d","","11,111.11088771 ETH","0.00922502%","5"
"0x21786202e5a25e5cca759939c7d56d428dbee352","","11,103.99703011 ETH","0.00921912%","10"
"0x0e8eeb6759e0117200b472e054a6cd61f7777f3b","","11,102.35793603 ETH","0.00921776%","1"
"0x875abe6f1e2aba07bed4a3234d8555a0d7656d12","","11,083.58170733 ETH","0.00920217%","580"
"0xd588e4102dff8f517d5875fe8a6befce6d501054","","11,064.60243133 ETH","0.00918641%","1"
"0xf962e467c553c2ef45d5462c52429837f4fd8c8a","","11,062.81929348 ETH","0.00918493%","27"
"0x5ffcb83445b1abd2c0875335aa6b7caa91665841","","11,051.60240856 ETH","0.00917562%","478"
"0x051c81439b93de85d31a185c77f44e3d4bee8585","","11,027.037249 ETH","0.00915522%","9"
"0x1395c7153b531d3b2d53834cf3aee70b919f6fd4","","11,017.207559 ETH","0.00914706%","2"
"0x6ba7843b25869a7a2570eebca10d5fd7192c81f9","","11,011.547 ETH","0.00914236%","7"
"0xa951a1bcbbd1bee2cc35cfd96dcf9d101e630c40","","11,000.96644868 ETH","0.00913358%","84"
"0xbf311509b64d88ee2d4efef6bfc3d4d75d6d12fb","","11,000 ETH","0.00913277%","3"
"0x0d9f01809436c68ffd490821d2ecf723dd7bf73d","","10,999.09711421 ETH","0.00913202%","1,297"
"0xb628441794cd41484be092b3b5f4b2ff7271eb60","","10,990.10201369 ETH","0.00912456%","1"
"0x61eec652fbda4490772e71e2300db540e3d267ac","","10,983.87907661 ETH","0.00911939%","7"
"0xe93f42c02ca3a26969ec5bc6d02e6cc646ed11f3","","10,980.41901586 ETH","0.00911652%","18"
"0xa0e239b0abf4582366adaff486ee268c848c4409","","10,964.53027723 ETH","0.00910333%","67"
"0x2f23642c614d0c2920681a4c03b8b880c72709aa","","10,959.5738 ETH","0.00909921%","2"
"0x770dd189825227014a8dcf0d0d2c3656bd5e689a","","10,954.13044222 ETH","0.00909469%","327"
"0x9697d610fe7693b3587a558062e39a37fa937dfe","","10,944.65131861 ETH","0.00908682%","537"
"0xa2c0f1083ea1c5279a0111d8886989fb5299d483","","10,943.75475415 ETH","0.00908608%","130"
"0x5d48ae24e96ca893e7de05a277d6a90c35588e5f","","10,900.01 ETH","0.00904976%","2"
"0xf61ff8125700e46463120ecb4153f8455dbffc1e","","10,889.66612902 ETH","0.00904117%","1"
"0xb1744815cf2decb53d4a38080a5eb5fe9cc9e77c","","10,878 ETH","0.00903148%","1"
"0x429c8344c9b911e9a0a6e6ce257b28250bd3a90a","Bittrex  : Cold Wallet","10,877.39488746 ETH","0.00903098%","154"
"0xce0545778ba51d4ffb8fb0c323a668c6ea42bee6","","10,865.32489801 ETH","0.00902096%","104"
"0x4bbd78a6dbea8dc5f5b0ca5117c82e3cc0eb5875","","10,852.53071219 ETH","0.00901034%","5"
"0x9b0c45d46d386cedd98873168c36efd0dcba8d46","Revolut 3","10,829.11587039 ETH","0.00899090%","11,061"
"0x75ba1ce57ce55ae3ab8a83f333449ad3b63de8b3","","10,800 ETH","0.00896672%","1"
"0xa7165b9ea2ab66a9b3a5a8a176d715c9a463fbd5","","10,800 ETH","0.00896672%","1"
"0xe121e595ac1b8ed3ca10cd7ec7b7f2d48cbaf2d2","","10,785.95858748 ETH","0.00895507%","1"
"0x9597052f599b9b3e39b26175ebeca8c38bd7db59","","10,784.42710129 ETH","0.00895379%","3"
"0xf250b4acd5855362df708771ddf7280e8e4167b7","","10,757.29301107 ETH","0.00893127%","1"
"0x9bc81baef5743eb49ef9ff2d19562080cb519d09","","10,709.5982396 ETH","0.00889167%","93"
"0x46f34c24a7ba7a2ac6dd76c3f09b32d41c144d08","Galaxy Digital: 0x46f...d08","10,708.47450878 ETH","0.00889073%","1,239"
"0xcd08bedee338bf69f38ef49ba64d88043a2d1953","","10,706.81448664 ETH","0.00888936%","54"
"0x152876abd0edf56845dba1e714379faadad5060a","","10,700.969748 ETH","0.00888450%","1"
"0xea74e036762f560661550372f5abcf937c3a8585","","10,699.969874 ETH","0.00888367%","1"
"0x33d7bae275f7f92f55ba569113220520c930bfbf","","10,698 ETH","0.00888204%","1"
"0x2555ef4fe1005af6d870b4af4cb39521326ff67e","","10,695.83015904 ETH","0.00888024%","4"
"0x1a34f1b1860885f6b0946847894719711e43ca2c","","10,646.43578186 ETH","0.00883923%","133"
"0xad7983b56cbd97313107f4c1935f6a8c75e11f54","","10,645.69489752 ETH","0.00883861%","101"
"0xf820502be44549169a4bc136afafd714d1d25708","","10,639.77924455 ETH","0.00883370%","13"
"0xed9b8f05224b881a222ece2e20bd2f4bdb71d0f8","","10,638.85653561 ETH","0.00883293%","939"
"0x45060f77491a404a261c37f77d2fdbc9633c8bd9","","10,636.15387984 ETH","0.00883069%","65"
"0x0c329c0566476e4c3dc7692842eeefb580e6d368","","10,633.28143084 ETH","0.00882830%","422"
"0xbf43cbd9b7784a744d5705a2e8365ee96a3120fc","","10,627.75520555 ETH","0.00882372%","9"
"0x7fa9a18f72955a15f1e2d94ddf0a6d0485b1debb","","10,626.80433476 ETH","0.00882293%","168"
"0xff575a22975cc413771825eb84c163189a4d5d22","","10,624.81385228 ETH","0.00882127%","13"
"0x600109d669ecc3110a83f72086ca188fde39795f","","10,602.04213696 ETH","0.00880237%","5"
"0xf939ab194400da7d12b5def3f753b1423e6a45e3","","10,600 ETH","0.00880067%","1"
"0xe467cdab8ed6d14baf2742352891fb16a9f76736","","10,582.63820662 ETH","0.00878626%","4"
"0x198da095ca056c066e838eeef10caedbd81a5a08","","10,580.5700433 ETH","0.00878454%","8"
"0x68084eac915e3429320ed6574811a0ea2873427c","","10,572.41304636 ETH","0.00877777%","1"
"0xbb077ebe177c8f8259914f95ac1512842eea2023","","10,571.20599371 ETH","0.00877677%","1"
"0x9e7174cad1a3c8cc479f44c397438e7d53a2d874","","10,552.14266265 ETH","0.00876094%","90"
"0x7f42fff01eb0a5cade2d20f145b14c4d028b8c57","","10,551.99094192 ETH","0.00876081%","28"
"0x3f35f4569cd0db7c3aa29cfa1732482f2a1a29f9","","10,547.88839668 ETH","0.00875741%","21"
"0xdebe82c106bc7357d7867a7781c4d45d30b2a4cb","","10,537.99585 ETH","0.00874919%","2"
"0x5efc9d10e42fb517456f4ac41eb5e2ebe42c8918","","10,504.65331264 ETH","0.00872151%","30,043"
"0xd42a5ba156f6f2747652740620ed642b0aa02fe9","","10,502.38532328 ETH","0.00871963%","5"
"0x76c3d516bc86f63c875c34c265a443dc83aae633","","10,438.73616508 ETH","0.00866678%","98"
"0xa43680f780c176216ec4d374dd1ebe229ecb07aa","","10,437.01191325 ETH","0.00866535%","5"
"0x8740ebf35c08627dac6a8ccb0310aa920e0e66a1","","10,424.97875467 ETH","0.00865536%","1"
"0x52d2083771c8a53b2315b136681bc8ec22e1176d","","10,407.2803195 ETH","0.00864067%","1"
"0x5fd8c3245ce27d3bf9af05c2106d622163793c83","","10,400.55453265 ETH","0.00863508%","53"
"0x3846aed50a2ed5959a4ea897c32c97fc70881561","","10,387.77241055 ETH","0.00862447%","8"
"0x772f7b3d5a7375eca229dd740b32dfece7b65f60","","10,384.90572742 ETH","0.00862209%","61"
"0x0ac9fce7636af8fa933068a3a5ecb71f8177c4f3","","10,383.17336996 ETH","0.00862065%","31"
"0xd3317f334db5106feb8d5e13433d4c6ab906a304","","10,376.87532996 ETH","0.00861542%","5"
"0xdeb9cc22cd17136cce26f9341b81d2a5c83beca5","","10,366.18066983 ETH","0.00860654%","6"
"0x7b90e8eb6525a8d6840a9e75e823903d77040b60","","10,364.99208673 ETH","0.00860556%","9"
"0x8f1ef2c70a61cae8dd54d25be7b44c2e581c6b33","","10,357.64946205 ETH","0.00859946%","11"
"0x16da108374550fbd62dd732f9cd9bdb1d6c66c17","","10,354.99722304 ETH","0.00859726%","28"
"0xb702775182932110b614df8dd75c5a0c36da0274","","10,339.13882167 ETH","0.00858409%","1"
"0xca19401610e2222f19cb9d47e53e9e29535e87e3","","10,338.37770388 ETH","0.00858346%","3"
"0x6709842c12e713789f5706e0dc207921e0835d50","","10,335.01091583 ETH","0.00858067%","3"
