Address,Name Tag,Balance,Percentage,Txn Count
"0x4399f61795d3e50096e236a6d31ab24470c99fd5","","35,288.4815 ETH","0.02929834%","973"
"0x575c25b7a57187007870b777cd4bb44e93ac323c","","35,278.0068024 ETH","0.02928964%","6"
"0x0aa688e6fe70ed7af4b18ebad588d5d7a553c958","","34,938.61709242 ETH","0.02900786%","2"
"0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63","Bitfinex 12","34,740.37540505 ETH","0.02884327%","2"
"0xe651e175046a8b812521711bf0a60f03654a2dbd","","34,416.10314431 ETH","0.02857404%","1"
"0x08621b0c521f58075c067de155bd6862ae68e482","","34,124.60927874 ETH","0.02833203%","6"
"0xfeeffac279d9cbf3b01879ef1889927ba34e74d7","","33,940.49467251 ETH","0.02817917%","1"
"0x184744fb0ae65515732b76b6480d01975009af1a","","33,600.654 ETH","0.02789702%","2"
"0x403a7a62c5b5f3a4cc3d6ef1fb5d283a8d2427e1","","33,596.18592102 ETH","0.02789331%","2"
"0xb8c9d963559059ddda0df55c3b97b0dffd86b451","","33,500 ETH","0.02781345%","12"
"0xdca6ab9508d28c0eb7b120b8252041edcb56753f","","33,420 ETH","0.02774703%","17"
"0xf197c6f2ac14d25ee2789a73e4847732c7f16bc9","Bitpanda 4","33,101.79170383 ETH","0.02748283%","2,201"
"0x85ad8bdf4a7b81cb647b90250b5b2f83cf23efe4","","33,006.33673986 ETH","0.02740358%","13"
"0x14407276f054004a4c5807c779416fd3106503af","","32,825.63904995 ETH","0.02725356%","2"
"0x38b50146e71916a5448de12a4d742135dcf39833","","32,200.00000842 ETH","0.02673412%","4"
"0x0cd2e58d93160773e98dba2d10f0e1f8bdd65959","","32,013.81148093 ETH","0.02657954%","14"
"0x514c8595ad5e696e5c0db6b1667972c595090ec7","","32,001.01010601 ETH","0.02656891%","8"
"0xb5858b92062e4eebae4f6cef621f3ea060afa5e3","","31,700.398791 ETH","0.02631932%","0"
"0x273a4db9f7cb388ec216df8c347f0529b22f4bd8","","31,699.936 ETH","0.02631894%","0"
"0x1a182dbf91d594cf8122185bb85d4f0102c5845f","","31,698.6092 ETH","0.02631784%","0"
"0x6c064fb0b9956b111fdcfe4297c03c980dd7730c","","31,661.50030215 ETH","0.02628703%","214"
"0x64192819ac13ef72bf6b5ae239ac672b43a9af08","Axie Infinity: Ronin Bridge V2","31,591.56336283 ETH","0.02622896%","164,089"
"0x540cec54609604306712ed76015e77c0edfe230e","","31,383.7222809 ETH","0.02605640%","20"
"0xea3aa67237e3f773d30b01034c63021eff59e158","","31,355.463438 ETH","0.02603294%","2"
"0x6841731d5183fb7ccf89689b2e37cfdb8bf6799e","","31,259.89397086 ETH","0.02595359%","2"
"0x078a9e1b56850dc9be25c20fb0f980c60775cf46","","31,126.21099805 ETH","0.02584260%","2"
"0xd49a1525b46f9149ff665807c925bd83b5a6d7e3","","31,111.95752033 ETH","0.02583077%","37"
"0xa97beb3a48c45f1528284cb6a95f7de453358ec6","","31,000 ETH","0.02573782%","3"
"0x9696f59e4d72e237be84ffd425dcad154bf96976","Binance 18","30,950.83077151 ETH","0.02569699%","7,146,918"
"0x1eddfb5ef9d8a66d1ec39292a7d1ab42b865e04b","","30,800.60814671 ETH","0.02557227%","25"
"0x2fad8ed34e368a5975d93a86f7c5390edd87e0a4","","30,600 ETH","0.02540572%","3"
"0xb085aa12d33c018254e7f844956b1100628e50b5","","30,434.86013421 ETH","0.02526861%","2"
"0xb5742a2dde347217efc3a7eb54bf753d1ddcd469","","30,172.86526681 ETH","0.02505109%","97"
"0xff64a8933e05c9d585ab72db95d207ebee9be5a8","","30,106.17228532 ETH","0.02499571%","24"
"0x491561db8b6fafb9007e62d050c282e92c4b6bc8","","30,023.00000576 ETH","0.02492666%","11"
"0xb5ab1ec3feac6134ab3cf7f0126d873929f756a2","","30,006.7458331 ETH","0.02491317%","4"
"0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6","","30,000.84763315 ETH","0.02490827%","11"
"0xa32e317f86ba61e87083e3e39bebba3837697678","","30,000.01560306 ETH","0.02490758%","8"
"0x69073269729e6414b26ec8dc0fd935c73b579f1e","","30,000 ETH","0.02490757%","2"
"0x92694498ac23728b1faf8d8ae083510bdff515ff","","29,999.99487721 ETH","0.02490756%","3"
"0x11f52057c6969b4df9978948caa560a635a7fd3d","","29,980.77271433 ETH","0.02489160%","6"
"0xf8047b8b16876435214b7b8ec6836a707b56a469","","29,835.35834209 ETH","0.02477087%","3"
"0xa2f6abe26fe0e1c1f2684ab002ed02a59ffbf85a","","29,817.59405002 ETH","0.02475612%","67"
"0x5d8f71af4f6afd7f89c2bb9db7d7f95f5ae127fd","","29,550.84892284 ETH","0.02453466%","2"
"0x770b376dca76cb1e190f9539010bce8d96c26bc6","","29,162.64107615 ETH","0.02421235%","2"
"0x0ce92d3a15908b53371ff1afcae800f28142250c","MaskEX 20","29,019.39407355 ETH","0.02409341%","131"
"0xa3f480eb9e0a0d91d20538464c89a7d3d4951b63","","29,000.25743287 ETH","0.02407753%","116"
"0xf4e6deea1b4da85c2d68db8d771d37ec1148b853","","28,732.98762289 ETH","0.02385563%","64"
"0x111cff45948819988857bbf1966a0399e0d1141e","bitFlyer","28,584.33277522 ETH","0.02373220%","19,331"
"0x05d5dd85827200b98fb24f585e395bcf9e2d8de0","","28,582.76004099 ETH","0.02373090%","4"
