Address,Name Tag,Balance,Percentage,Txn Count
"0x376c3e5547c68bc26240d8dcc6729fff665a4448","Iconomi: MultiSig 1","114,939.00001 ETH","0.09542835%","63"
"0xbf94f0ac752c739f623c463b5210a7fb2cbb420b","OKX 24","110,076.86156262 ETH","0.09139155%","2,294,242"
"0x558553d54183a8542f7832742e7b4ba9c33aa1e6","Bithumb 12","110,000.75260764 ETH","0.09132836%","64"
"0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840","OKX 25","109,463.01716148 ETH","0.09088191%","2,284,756"
"0xa7efae728d2936e78bda97dc267687568dd593f3","OKX 3","109,402.3664395 ETH","0.09083155%","4,164,304"
"0x084ef8564b4f75a70b7ad5e8aabf73edac005397","","108,544.04481874 ETH","0.09011893%","135"
"0xcac9c634b4464efe71a9a5910edba06686baf457","","108,532.91750801 ETH","0.09010969%","131"
"0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b","","108,532.9173911 ETH","0.09010969%","76"
"0xff2ac8c5834a7585fcc97edb8ba2431c4beab487","","108,532.91731301 ETH","0.09010969%","75"
"0x4ed97d6470f5121a8e02498ea37a50987da0eec0","","108,532.91730801 ETH","0.09010969%","106"
"0x6e414cfad874d8ee716ea0299d40011207c907b8","","108,205.26643395 ETH","0.08983766%","78"
"0x19bf56fca395a600c20f732b05757f30ad24a719","","108,205.26632203 ETH","0.08983766%","70"
"0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d","","108,054.42444315 ETH","0.08971242%","72"
"0x8ae880b5d35305da48b63ce3e52b22d17859f293","","107,708.24446505 ETH","0.08942500%","10"
"0xa463597d49f54fe6a811fb894cbd67c7f92852b0","","107,686.26657306 ETH","0.08940676%","72"
"0x5a710a3cdf2af218740384c52a10852d8870626a","Bitfinex 15","107,141.16775261 ETH","0.08895419%","29"
"0x7f1502605a2f2cc01f9f4e7dd55e549954a8cd0c","","105,874.39429813 ETH","0.08790245%","271"
"0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6","","105,737.51263818 ETH","0.08778880%","117"
"0xbed96d0840201011df1467379a5d311e0040073a","","103,744.75950728 ETH","0.08613431%","7"
"0xd7f9f54194c633f36ccd5f3da84ad4a1c38cb2cb","","103,514.82096496 ETH","0.08594340%","5,007"
"0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc","","102,002.99468233 ETH","0.08468821%","14"
"0x76ae5632ae65d95dd704218920f7d8ac4daef9cc","","101,388.61949334 ETH","0.08417812%","35"
"0x67f706db3bbd04a250eed049386c5d09c4ee31f0","","100,784.24757181 ETH","0.08367634%","38"
"0x3f6a6f3b1bf064296a5880c0102d2c4e7d383932","","100,245.53106977 ETH","0.08322907%","180"
"0xd9858d573a26bca124282afa21ca4f4a06eff98a","","100,179.66778882 ETH","0.08317439%","12"
"0x4fdd5eb2fb260149a3903859043e962ab89d8ed4","Bitfinex 5","100,116.88988392 ETH","0.08312226%","28"
"0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604","","100,000.14577856 ETH","0.08302534%","11"
"0x2d89034424db22c9c555f14692a181b22b17e42c","","100,000.00003483 ETH","0.08302522%","10"
"0x40f50e8352d64af0ddda6ad6c94b5774884687c3","","100,000.00002133 ETH","0.08302522%","6"
"0x36b6751586614d647d8a3f495e82bdcf250914c8","","98,770.46156153 ETH","0.08200439%","66"
"0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb","","98,770.46155584 ETH","0.08200439%","75"
"0xe93fc974908003faddf0bd972b05b6494368d3f5","","98,770.46152594 ETH","0.08200439%","68"
