Address,Name Tag,Balance,Percentage,Txn Count
"0x7a5e99e67d6a5e8995f93d90d34ccb4b58524585","","24,280.69030769 ETH","0.02015910%","2"
"0x4caab33b374048d87f8e7f383f88bd8f08b93440","","24,268.97508915 ETH","0.02014937%","3"
"0x15e34a8324164ef0890471f6f527451f7a22cf12","","24,099.99687707 ETH","0.02000907%","7"
"0x17a96a2103c69c8d283bd8b229938bf339d67364","","23,974.87499096 ETH","0.01990519%","2"
"0xf4e11b89519eccd988a56749f1c64ad9bfe0298f","Prime Trust: Legacy MultiSig 1","23,777.72736702 ETH","0.01974151%","252"
"0x0b691757950dc0781c0a56b7ce6741f04b04c977","","23,768.57148636 ETH","0.01973391%","2"
"0xa4ba59edffeb8bf4036907b3cd2bc4da8c90f5c5","","23,758.11348603 ETH","0.01972523%","2"
"0xdfd5293d8e347dfe59e90efd55b2956a1343963d","Binance 16","23,753.67211989 ETH","0.01972154%","10,348,559"
"0xbc9b1e338fadf78c6a5667d1efb11c75b627a5fd","","23,689.86734307 ETH","0.01966856%","15"
"0xc5f42d34e526edd6466de67cdb7d3279e62b3835","","23,253.2804008 ETH","0.01930609%","36"
"0xaeb0c00d0125a8a788956ade4f4f12ead9f65ddf","Fuel: Bridge 2","23,096.07375437 ETH","0.01917557%","72,759"
"0x649614d3f7a7d68b3cf3c00264a07eeae4326fdc","","23,073.401 ETH","0.01915674%","6"
"0xde8b1b1c6501c4aac85df0e64a198fb7bb65ea60","","23,000.03520728 ETH","0.01909583%","5"
"0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec","Bitfinex: Hot Wallet","22,897.35382689 ETH","0.01901058%","365,976"
"0xa15c9d4af12d42c612d5a7445d76f5cc3ac92a69","Bitwise: ETH Holding Address 1","22,823.68535769 ETH","0.01894941%","137"
"0xbe8fe56063aa85014ea674db171dcba015c3a4d4","","22,735.07818832 ETH","0.01887585%","4"
"0xf584f8728b874a6a5c7a8d4d387c9aae9172d621","Jump Trading","22,563.44397223 ETH","0.01873335%","132,583"
"0x354e1b45f31865132ca1c954c5b2ec9aa87c7fa8","","22,392.76626725 ETH","0.01859164%","291"
"0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7","QubitFin Exploiter","22,212.58885184 ETH","0.01844205%","137"
"0xedc4402812c1e4d8312a5a2ed7bfee89c49613ba","","22,090.45204061 ETH","0.01834065%","30"
"0x79b91d213e019c62e6d1ef87c2e6e9fd07320373","","22,088.43704875 ETH","0.01833897%","29"
"0x6fe6b1ab512a0bbef752086bded463107dd8ba15","","22,083.554982 ETH","0.01833492%","27"
"0xabf81ecd63f1e4816abb1747aedbcde720459fe0","","22,080.759239 ETH","0.01833260%","23"
"0x378d1814b1d3d84c10a51317d26584b61c70b617","","22,079.9841865 ETH","0.01833195%","22"
"0xe09f3fd42f4b7d6d2d70d412298973658f2b23b5","","22,078.99131153 ETH","0.01833113%","29"
"0x5b0915d78ed7fa2ff0891773322e663a4a4d3029","","21,983.55591913 ETH","0.01825189%","76"
"0xa40f46d4dbd33be5f4cc11772e95f8fa8dc67dab","","21,953.01321883 ETH","0.01822654%","2"
"0xc155e5ca4e17041333ae66728b1fd77bf178be74","","21,860.86052198 ETH","0.01815003%","39"
"0x9b0e462214e6bb5345ad3b78c09f7c043eb4fd6f","","21,768.69270371 ETH","0.01807350%","9"
"0x43ab622752d766d694c005acfb78b1fc60f35b69","","21,704.32557927 ETH","0.01802006%","108"
