Address,Name Tag,Balance,Percentage,Txn Count
"0xdfcc6d21f4494a81b605d67900bfb03290a00555","","52,345.55099001 ETH","0.04346001%","3"
"0xef6ddef90502aee5bb6bd9db326c853e44c42be1","","52,345.55099001 ETH","0.04346001%","1"
"0x33cba8530056037780bd7c3cd65d4d6ff1aebbf8","","52,345.55099001 ETH","0.04346001%","2"
"0x93610880fb8f4f2a33931b403990d3536f73de5f","","52,345.55099001 ETH","0.04346001%","1"
"0xa56d5dc24797e7e7fe0981fa49302ec673992ef8","","52,345.55099001 ETH","0.04346001%","20"
"0x7ef857eb57071f1d659d43ea466591bf7c32dc3d","","52,345.55099001 ETH","0.04346001%","2"
"0x1c7bfcad2ee0e50493fa6a22f4f06c0c9ec86e60","","52,345.55099001 ETH","0.04346001%","4"
"0x2fb6db0fc654925ae4aad32ef06aa2b4a5684dda","","52,236.27868138 ETH","0.04336928%","14"
"0x0afbaf9dd49d5d7b32bc196a1d5fdf0a611f60ac","","52,236.27868138 ETH","0.04336928%","25"
"0xdd0817f5c09013ab1a78c7943d4baed6bcf64548","","52,236.27868138 ETH","0.04336928%","9"
"0xaacdeeab334a8fd81baae72bc34274d1e57227a7","","52,236.27868138 ETH","0.04336928%","18"
"0xab90ed01b9f5e903b988856f09a14bb9f5413282","","52,236.27868104 ETH","0.04336928%","3"
"0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a","","52,170.1297478 ETH","0.04331436%","26"
"0xd69b0089d9ca950640f5dc9931a41a5965f00303","Gemini 7","51,644.04076406 ETH","0.04287758%","202"
"0x1b8766d041567eed306940c587e21c06ab968663","Bitfinex 14","51,377.30143861 ETH","0.04265612%","25"
"0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4","","50,870.22048874 ETH","0.04223511%","1,804"
"0xceffc7330317f72957c662d072a5e7d63b9b578c","","50,399.93896064 ETH","0.04184466%","10"
"0x8e609ac80f4324e499a6efd24f221a2caa868224","","50,266.29970499 ETH","0.04173370%","52"
"0xad7f791974169973443c496eaa102f1a7842003d","","50,189.48428657 ETH","0.04166993%","9"
"0x49beac700c11e79acdfdfd77edf451c6a5c8d646","","50,158.674 ETH","0.04164435%","1"
"0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd","","50,005.98478689 ETH","0.04151758%","9"
"0x50bd66bfddf48b8914602bf51c93756731ec51ae","","50,001.00561846 ETH","0.04151344%","8"
"0x5a03703125380cfda804446fdaa3b4064cb6cc0a","","50,000.89 ETH","0.04151335%","4"
"0x6220d7a458a68d6a554e5904792049fd2ef6bbcc","","50,000.419059 ETH","0.04151296%","6"
"0x07f1d450b16e53302931c5362ee0ab41f2978541","","50,000.150118 ETH","0.04151273%","5"
"0x98ec059dc3adfbdd63429454aeb0c990fba4a128","OKX 6","50,000.10856897 ETH","0.04151270%","68"
"0xc97b6e3e4301617f617b23120f31303e8ccee606","","50,000.01556724 ETH","0.04151262%","5"
"0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b","","50,000.012559 ETH","0.04151262%","4"
"0xe780a56306ba1e6bb331952c22539b858af9f77d","","50,000.00001563 ETH","0.04151261%","5"
"0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca","","49,996.54870979 ETH","0.04150974%","7"
"0x1e747fb111ba949af397b15cbceb424d3f19d8a6","","49,371.02111049 ETH","0.04099040%","5"
"0x4e833b9091eb433f33e0e2c49b2cea0ec03fa555","","49,149.99992758 ETH","0.04080689%","42"
"0x795cbc7a670d06e56cd2197d4ca175e081a416ad","","48,941.99128797 ETH","0.04063419%","75"
"0x7442041898dc3f8ed76fa4e00a762064c87991c8","","48,746.20442194 ETH","0.04047164%","6"
"0xda78f7f430a98011ffdf4e01347482d17660005d","","48,706.1862946 ETH","0.04043842%","9"
"0x73af3bcf944a6559933396c1577b257e2054d935","Robinhood 6","47,764.44243313 ETH","0.03965653%","408"
"0x6e29f75b0350fd0e85ee34a21ef94767b0186996","Stake.com 3","47,649.00157349 ETH","0.03956069%","40"
"0xee471215e428c08ba69751627e5f6761bba7ae18","","47,591.44516141 ETH","0.03951290%","35"
"0x434587332cc35d33db75b93f4f27cc496c67a4db","","47,061.23586019 ETH","0.03907269%","128"
"0x6130611f7a65deb930bd0c0825af88078fcced43","Bitstamp 21","45,711 ETH","0.03795166%","3"
"0xf9a345948c9f31b225686ab8911140b0e2bcdca8","","45,558.05891678 ETH","0.03782468%","27"
"0xdc9f181faa64e9b9351ff4f6060682b7effcdf67","","45,393.32147732 ETH","0.03768790%","1"
"0xec5feafe210c12bfc9a5d05925a123f1e73fbef8","","45,376.10252836 ETH","0.03767361%","67"
"0x7713974908be4bed47172370115e8b1219f4a5f0","","44,976.5460997 ETH","0.03734187%","66"
"0x70773129aca50d298631283e137473ab8ffc0177","","44,800.7606333 ETH","0.03719593%","2"
"0x42697cc8cb495aebd453d016950344867d51f27e","","44,199.90117489 ETH","0.03669706%","3"
"0x1ac33f385a4e9fe2d809a81c5c10473f81ee0ed3","","43,786.31010243 ETH","0.03635368%","14"
"0x87c4d2ec2a79d016d961754b7917be074b24893b","","43,582.78531484 ETH","0.03618470%","522"
"0x7f3a1e45f67e92c880e573b43379d71ee089db54","","43,499.57275499 ETH","0.03611561%","261"
"0x9168765ee952de7c6f8fc6fad5ec209b960b7622","Manta Pacific:  Escrow for ETH","43,005.7481778 ETH","0.03570562%","31,529"
"0x90f9dff16f9efafeeb8b130dc5d3562ac5e76a96","","42,837.21096466 ETH","0.03556569%","4"
"0x7ffbafdc1e4f0a4b97130b075fb4a25f807a1807","","42,324.3099083 ETH","0.03513985%","2,419"
"0x40638e9fe6005d9c1f8b7a7b4dec086707fdc84d","","42,192.96555385 ETH","0.03503080%","778"
"0xc963eb5b4c9e1d9251d012373c3d430f066bcdec","","42,000.011 ETH","0.03487060%","10"
"0x0c501d43206b97fa4300f1b0962742b4f938f70e","","41,776.59353292 ETH","0.03468511%","2,686"
"0x093c06ab7ffe19bd3efc8a55548bdf4285505577","","41,435.75571734 ETH","0.03440213%","4"
"0x5696ae5ad2c22a4afc03bbae5bf18ca9278ae5c5","","41,234.43395 ETH","0.03423498%","7"
"0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1","","41,059.69545476 ETH","0.03408990%","625"
